line,rep,salt,week,weight,size
A,1,0,1,0.8131,big
A,2,0,1,0.8434,big
A,3,0,1,,big
A,4,0,1,0.829,big
A,5,0,1,0.8463,big
A,6,0,1,0.8412,big
B,1,0,1,0.8508,big
B,2,0,1,0.8095,big
B,3,0,1,0.8372,big
B,4,0,1,0.8341,big
B,5,0,1,0.8355,big
B,6,0,1,0.8423,big
C,1,0,1,0.8449,big
C,2,0,1,0.8359,big
C,3,0,1,0.8482,big
C,4,0,1,0.8404,big
C,5,0,1,0.7953,big
C,6,0,1,0.8586,big
D,1,0,1,0.8297,big
D,2,0,1,0.8182,big
D,3,0,1,0.8458,big
D,4,0,1,0.8364,big
D,5,0,1,0.8428,big
D,6,0,1,0.8512,big
A,1,1,1,0.8137,big
A,2,1,1,0.8352,big
A,3,1,1,0.8153,big
A,4,1,1,0.8325,big
A,5,1,1,0.8172,big
A,6,1,1,0.8553,big
B,1,1,1,0.8443,big
B,2,1,1,0.8268,big
B,3,1,1,0.8318,big
B,4,1,1,0.8285,big
B,5,1,1,0.8289,big
C,1,1,1,0.8157,big
C,2,1,1,0.8541,big
C,3,1,1,,big
C,4,1,1,0.8275,big
C,5,1,1,0.8228,big
C,6,1,1,0.8169,big
D,1,1,1,0.8277,big
D,2,1,1,0.8335,big
D,3,1,1,0.8093,big
D,4,1,1,0.8445,big
D,5,1,1,0.8404,big
D,6,1,1,0.8532,big
A,1,0,2,0.8422,big
A,2,0,2,0.8678,big
A,3,0,2,0.8465,big
A,4,0,2,0.8302,big
A,5,0,2,0.8748,big
A,6,0,2,0.8562,big
B,1,0,2,0.8467,big
B,2,0,2,0.8373,big
B,3,0,2,0.842,big
B,4,0,2,0.8401,big
B,5,0,2,0.852,big
B,6,0,2,0.8462,big
C,1,0,2,0.8611,big
C,2,0,2,0.8455,big
C,3,0,2,0.8694,big
C,4,0,2,0.8325,big
C,5,0,2,0.8371,big
C,6,0,2,0.844,big
D,1,0,2,0.836,big
D,2,0,2,0.853,big
D,3,0,2,0.8526,big
D,4,0,2,0.8507,big
D,5,0,2,0.8514,big
D,6,0,2,0.8514,big
A,1,1,2,0.8546,big
A,2,1,2,0.8514,big
A,3,1,2,0.8536,big
A,4,1,2,0.8472,big
A,5,1,2,0.8557,big
A,6,1,2,0.8495,big
B,1,1,2,0.8554,big
B,2,1,2,0.8475,big
B,3,1,2,0.8705,big
B,5,1,2,0.8499,big
C,1,1,2,0.8539,big
C,2,1,2,0.8609,big
C,3,1,2,0.8597,big
C,4,1,2,0.833,big
C,5,1,2,0.857,big
C,6,1,2,0.855,big
D,1,1,2,0.8434,big
D,2,1,2,0.8426,big
D,3,1,2,0.8279,big
D,4,1,2,0.8712,big
D,6,1,2,0.8684,big
A,1,0,3,0.8814,big
A,2,0,3,0.8928,big
A,3,0,3,0.8906,big
A,4,0,3,0.8632,big
A,5,0,3,0.8584,big
A,6,0,3,0.9006,big
B,1,0,3,0.8908,big
B,2,0,3,0.8821,big
B,3,0,3,0.8672,big
B,4,0,3,0.8613,big
B,5,0,3,0.8415,big
B,6,0,3,0.8603,big
C,1,0,3,0.8868,big
C,2,0,3,0.8543,big
C,3,0,3,0.8947,big
C,4,0,3,0.8813,big
C,5,0,3,0.8756,big
C,6,0,3,0.8751,big
D,1,0,3,0.8709,big
D,2,0,3,0.8743,big
D,3,0,3,0.8696,big
D,4,0,3,0.8628,big
D,5,0,3,0.87,big
D,6,0,3,0.8715,big
A,1,1,3,0.8626,big
A,2,1,3,0.8638,big
A,3,1,3,0.8578,big
A,4,1,3,0.9008,big
A,5,1,3,0.8558,big
A,6,1,3,0.8978,big
B,1,1,3,0.8728,big
B,2,1,3,0.8762,big
B,3,1,3,0.8655,big
B,4,1,3,,big
B,5,1,3,0.8729,big
C,1,1,3,0.8705,big
C,2,1,3,0.8565,big
C,3,1,3,0.8597,big
C,4,1,3,0.8538,big
C,5,1,3,0.8724,big
C,6,1,3,0.8761,big
D,1,1,3,0.8776,big
D,2,1,3,0.8934,big
D,3,1,3,0.8636,big
D,4,1,3,0.8682,big
D,6,1,3,0.8663,big
A,1,0,4,0.8991,big
A,2,0,4,0.8863,big
A,3,0,4,0.8875,big
A,4,0,4,0.8724,big
A,5,0,4,0.8758,big
A,6,0,4,0.8946,big
B,1,0,4,0.8737,big
B,2,0,4,0.8705,big
B,3,0,4,0.8843,big
B,4,0,4,0.8764,big
B,5,0,4,0.879,big
B,6,0,4,0.9004,big
C,1,0,4,0.8736,big
C,2,0,4,0.8687,big
C,3,0,4,0.8774,big
C,4,0,4,0.8549,big
C,5,0,4,0.8929,big
C,6,0,4,0.913,big
D,1,0,4,0.8702,big
D,2,0,4,0.8699,big
D,3,0,4,0.8753,big
D,4,0,4,0.8811,big
D,5,0,4,0.9136,big
D,6,0,4,0.8732,big
A,1,1,4,0.8658,big
A,2,1,4,0.8923,big
A,3,1,4,0.8864,big
A,4,1,4,0.8842,big
A,5,1,4,0.8939,big
A,6,1,4,0.911,big
B,1,1,4,0.8693,big
B,2,1,4,0.8821,big
B,3,1,4,0.8825,big
B,4,1,4,0.8578,big
B,5,1,4,0.889,big
C,1,1,4,0.8658,big
C,2,1,4,0.8711,big
C,3,1,4,0.8682,big
C,4,1,4,0.8947,big
C,5,1,4,0.8994,big
C,6,1,4,0.8771,big
D,1,1,4,0.8631,big
D,2,1,4,0.9206,big
D,3,1,4,0.8736,big
D,4,1,4,0.8816,big
D,6,1,4,0.9139,big
A,1,0,6,0.4434,small
A,2,0,6,0.4212,small
A,3,0,6,0.4243,small
A,4,0,6,0.4013,small
A,5,0,6,0.4179,small
A,6,0,6,0.3904,small
B,1,0,6,0.4355,small
B,2,0,6,0.4251,small
B,3,0,6,0.4407,small
B,4,0,6,0.4198,small
B,5,0,6,0.4298,small
B,6,0,6,0.4418,small
C,1,0,6,0.4465,small
C,2,0,6,0.4259,small
C,3,0,6,0.4402,small
C,4,0,6,0.4279,small
C,5,0,6,0.4306,small
C,6,0,6,0.4618,small
D,1,0,6,0.418,small
D,2,0,6,0.4311,small
D,3,0,6,0.4361,small
D,4,0,6,0.4476,small
D,5,0,6,0.4086,small
D,6,0,6,0.412,small
A,1,1,6,0.4185,small
A,2,1,6,0.4176,small
A,3,1,6,0.379,small
A,4,1,6,0.4218,small
A,5,1,6,0.4274,small
A,6,1,6,0.4471,small
B,1,1,6,0.4382,small
B,2,1,6,0.4613,small
B,3,1,6,0.4238,small
B,4,1,6,0.4103,small
B,5,1,6,0.4215,small
C,1,1,6,0.4123,small
C,2,1,6,0.4326,small
C,3,1,6,0.4183,small
C,4,1,6,0.4599,small
C,5,1,6,0.4313,small
C,6,1,6,0.4457,small
D,1,1,6,0.4599,small
D,2,1,6,0.4963,small
D,3,1,6,0.4157,small
D,4,1,6,0.406,small
D,6,1,6,0.4736,small
A,1,0,7,0.4402,small
A,2,0,7,0.4497,small
A,3,0,7,0.4172,small
A,4,0,7,0.4631,small
A,5,0,7,0.4135,small
A,6,0,7,0.4292,small
B,1,0,7,0.3939,small
B,2,0,7,0.416,small
B,3,0,7,0.4236,small
B,4,0,7,0.4342,small
B,5,0,7,0.4048,small
B,6,0,7,0.4213,small
C,1,0,7,0.4247,small
C,2,0,7,0.4506,small
C,3,0,7,0.4368,small
C,4,0,7,0.4174,small
C,5,0,7,0.4112,small
C,6,0,7,0.4325,small
D,1,0,7,0.4265,small
D,2,0,7,0.4028,small
D,3,0,7,0.4551,small
D,4,0,7,0.418,small
D,5,0,7,0.4321,small
D,6,0,7,0.4344,small
A,1,1,7,0.4383,small
A,2,1,7,0.4463,small
A,3,1,7,0.4655,small
A,4,1,7,0.4359,small
A,5,1,7,0.3856,small
A,6,1,7,0.4406,small
B,1,1,7,0.4207,small
B,2,1,7,0.4212,small
B,3,1,7,0.4282,small
B,4,1,7,0.3942,small
B,5,1,7,0.41,small
C,1,1,7,0.4306,small
C,2,1,7,0.4391,small
C,3,1,7,0.431,small
C,4,1,7,0.4623,small
C,5,1,7,0.4234,small
C,6,1,7,0.4276,small
D,1,1,7,0.3999,small
D,2,1,7,0.4117,small
D,3,1,7,0.4077,small
D,4,1,7,0.4515,small
D,6,1,7,0.4133,small
A,1,0,8,0.4384,small
A,2,0,8,0.405,small
A,3,0,8,0.4378,small
A,4,0,8,0.4242,small
A,5,0,8,0.444,small
A,6,0,8,0.4557,small
B,1,0,8,0.4322,small
B,2,0,8,0.4541,small
B,3,0,8,0.4325,small
B,4,0,8,0.4456,small
B,5,0,8,0.4588,small
B,6,0,8,0.4578,small
C,1,0,8,0.4004,small
C,2,0,8,0.4611,small
C,3,0,8,0.4462,small
C,4,0,8,0.4382,small
C,5,0,8,0.4305,small
C,6,0,8,0.4662,small
D,1,0,8,0.4366,small
D,2,0,8,0.4523,small
D,3,0,8,0.4324,small
D,4,0,8,0.4432,small
D,5,0,8,0.4763,small
D,6,0,8,0.4815,small
A,1,1,8,0.4589,small
A,2,1,8,0.4505,small
A,3,1,8,0.4541,small
A,4,1,8,0.4671,small
A,5,1,8,0.4336,small
A,6,1,8,0.4255,small
B,1,1,8,0.4533,small
B,2,1,8,0.4451,small
B,3,1,8,0.4199,small
B,4,1,8,0.4023,small
B,5,1,8,0.448,small
C,1,1,8,0.4731,small
C,2,1,8,0.4334,small
C,3,1,8,0.4365,small
C,4,1,8,0.4236,small
C,5,1,8,0.4558,small
C,6,1,8,0.4499,small
D,1,1,8,0.4215,small
D,2,1,8,0.4264,small
D,3,1,8,0.4299,small
D,4,1,8,0.4125,small
D,6,1,8,0.43,small
A,1,0,9,0.4702,small
A,2,0,9,0.4484,small
A,3,0,9,0.477,small
A,4,0,9,0.4563,small
A,5,0,9,0.4509,small
A,6,0,9,0.4592,small
B,1,0,9,0.4443,small
B,2,0,9,0.43,small
B,3,0,9,0.4329,small
B,4,0,9,0.4486,small
B,5,0,9,0.4393,small
B,6,0,9,0.4415,small
C,1,0,9,0.4624,small
C,2,0,9,0.4579,small
C,3,0,9,0.4383,small
C,4,0,9,0.441,small
C,5,0,9,0.4355,small
C,6,0,9,0.4309,small
D,1,0,9,0.4373,small
D,2,0,9,0.4288,small
D,3,0,9,0.4712,small
D,4,0,9,0.4709,small
D,5,0,9,0.4531,small
D,6,0,9,0.4586,small
A,1,1,9,0.4276,small
A,2,1,9,0.4425,small
A,3,1,9,0.4329,small
A,4,1,9,0.4545,small
A,5,1,9,0.4404,small
A,6,1,9,0.427,small
B,1,1,9,0.4618,small
B,2,1,9,0.4541,small
B,3,1,9,0.4608,small
B,4,1,9,0.4396,small
B,5,1,9,0.4475,small
C,1,1,9,0.4771,small
C,2,1,9,0.4531,small
C,3,1,9,0.4785,small
C,4,1,9,0.4577,small
C,5,1,9,0.4207,small
C,6,1,9,0.4407,small
D,1,1,9,0.4636,small
D,2,1,9,0.4662,small
D,3,1,9,0.4295,small
D,4,1,9,0.4792,small
D,6,1,9,0.4214,small
A,1,0,10,0.4302,small
A,2,0,10,0.4487,small
A,3,0,10,0.4785,small
A,4,0,10,0.4148,small
A,5,0,10,0.4526,small
A,6,0,10,0.432,small
B,1,0,10,0.4625,small
B,2,0,10,0.4475,small
B,3,0,10,0.4425,small
B,4,0,10,0.468,small
B,5,0,10,0.4493,small
B,6,0,10,0.4046,small
C,1,0,10,0.4921,small
C,2,0,10,0.4486,small
C,3,0,10,0.4268,small
C,4,0,10,0.4537,small
C,5,0,10,0.4224,small
C,6,0,10,0.4409,small
D,1,0,10,0.4222,small
D,2,0,10,0.4397,small
D,3,0,10,0.4536,small
D,4,0,10,0.3993,small
D,5,0,10,0.4412,small
D,6,0,10,0.4221,small
A,1,1,10,0.4891,small
A,2,1,10,0.4611,small
A,3,1,10,0.4783,small
A,4,1,10,0.4637,small
A,5,1,10,0.4545,small
A,6,1,10,0.4434,small
B,1,1,10,0.4452,small
B,2,1,10,0.4428,small
B,3,1,10,0.4546,small
B,4,1,10,0.4204,small
B,5,1,10,0.4511,small
C,1,1,10,0.4624,small
C,2,1,10,0.4693,small
C,3,1,10,0.4504,small
C,4,1,10,0.4047,small
C,5,1,10,0.4591,small
C,6,1,10,0.4652,small
D,1,1,10,0.4163,small
D,2,1,10,0.3856,small
D,3,1,10,0.4343,small
D,4,1,10,0.4576,small
D,6,1,10,0.4265,small
A,1,0,11,0.4565,small
A,2,0,11,0.463,small
A,3,0,11,0.5035,small
A,4,0,11,0.4564,small
A,5,0,11,0.4783,small
A,6,0,11,0.5036,small
B,1,0,11,0.4765,small
B,2,0,11,0.4745,small
B,3,0,11,0.4959,small
B,4,0,11,0.4716,small
B,5,0,11,0.4986,small
B,6,0,11,0.4579,small
C,1,0,11,0.4787,small
C,2,0,11,0.4665,small
C,3,0,11,0.4934,small
C,4,0,11,0.4944,small
C,5,0,11,0.5075,small
C,6,0,11,0.5021,small
D,1,0,11,0.4858,small
D,2,0,11,0.4926,small
D,3,0,11,0.4531,small
D,4,0,11,0.4981,small
D,5,0,11,0.4611,small
D,6,0,11,0.442,small
A,1,1,11,0.4727,small
A,2,1,11,0.4613,small
A,3,1,11,0.5055,small
A,4,1,11,0.4746,small
A,5,1,11,0.4193,small
A,6,1,11,0.4481,small
B,1,1,11,0.4723,small
B,2,1,11,0.4794,small
B,3,1,11,0.4636,small
B,4,1,11,0.4729,small
B,5,1,11,0.4604,small
C,1,1,11,0.5059,small
C,2,1,11,0.4489,small
C,3,1,11,0.4685,small
C,4,1,11,0.4602,small
C,5,1,11,0.4608,small
C,6,1,11,0.469,small
D,1,1,11,0.4394,small
D,2,1,11,0.4456,small
D,3,1,11,0.4276,small
D,4,1,11,0.4693,small
D,6,1,11,0.4908,small
A,1,0,12,0.5101,small
A,2,0,12,0.4852,small
A,3,0,12,0.4394,small
A,4,0,12,0.463,small
A,5,0,12,0.4756,small
A,6,0,12,0.522,small
B,1,0,12,0.4756,small
B,2,0,12,0.4501,small
B,3,0,12,0.4885,small
B,4,0,12,0.506,small
B,5,0,12,0.4511,small
B,6,0,12,0.4787,small
C,1,0,12,0.503,small
C,2,0,12,0.4727,small
C,3,0,12,0.4581,small
C,4,0,12,0.4797,small
C,5,0,12,0.4658,small
C,6,0,12,0.4676,small
D,1,0,12,,small
D,2,0,12,0.4618,small
D,3,0,12,0.4571,small
D,4,0,12,0.4417,small
D,5,0,12,0.4341,small
D,6,0,12,0.4757,small
A,1,1,12,0.4527,small
A,2,1,12,0.4609,small
A,3,1,12,0.483,small
A,4,1,12,0.4689,small
A,5,1,12,0.4247,small
A,6,1,12,0.4481,small
B,1,1,12,0.4612,small
B,2,1,12,0.4668,small
B,3,1,12,0.4157,small
B,4,1,12,0.4633,small
B,5,1,12,0.4408,small
C,1,1,12,0.4395,small
C,2,1,12,0.4593,small
C,3,1,12,0.4527,small
C,4,1,12,0.4611,small
C,5,1,12,0.4812,small
C,6,1,12,0.4677,small
D,1,1,12,0.4048,small
D,2,1,12,0.4319,small
D,3,1,12,0.4283,small
D,4,1,12,0.395,small
D,6,1,12,0.4522,small
